name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
101 Mansion,Bang Kapi,13.7874348,100.6315637,23371,5,5,834.0,2.1,10577,0,28,1.5,2.1,2.3,2.7,4.3,1.2,1.4,1.5,1.5,1.5,0.48,0.87,1.3,1.3,1.3,0,0,0,1,0,0,0,1,0,1,0,0,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,4.3,4.8,5.0,8.1,8.3
624 Condolette Ladprao,Bang Kapi,13.766348,100.649395,6476,2,8,471.0,1.8,49059,1,8,0.4,0.79,0.83,0.85,1.1,0.56,0.72,0.74,0.78,0.83,0.4,0.4,0.59,0.74,0.74,1,1,1,1,0,0,1,1,0,1,1,1,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,5.8,6.2,6.5,9.8,9.9
Adamas Ramkhamhaeng,Bang Kapi,13.7524478,100.61550720000001,4699,1,16,140.0,2.3,31129,2,24,0.003,0.003,0.002,0.002,0.91,0.64,0.64,0.73,0.85,0.87,0.3,0.51,0.52,0.53,0.58,1,1,1,1,0,0,0,0,0,1,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,2.1,2.5,2.9,6.1,6.3
Aspire Ladprao 113,Bang Kapi,13.770285999999999,100.638799,3816,1,8,270.0,0.68,87368,3,3,0.002,0.53,0.64,0.64,0.65,0.71,0.72,0.73,0.91,0.92,0.3,0.4,0.52,0.53,0.58,1,1,1,1,1,1,1,0,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,4.7,5.4,6.1,8.5,8.7
B.R. Condo,Bang Kapi,13.768706,100.63887599999998,7391,2,10,560.0,0.69,42597,4,28,0.002,0.5,0.66,0.71,0.73,0.63,0.74,0.79,0.99,1.0,0.18,0.37,0.5,0.53,0.53,1,1,1,1,0,0,0,0,0,1,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,4.7,5.4,6.1,8.5,8.6
Bangkapi Condotown,Bang Kapi,13.771784099999998,100.64467370000001,15161,5,11,1553.0,2.0,19071,5,27,0.084,0.66,0.96,1.2,1.2,0.24,0.56,0.92,1.3,1.3,0.39,0.92,0.92,0.92,0.92,1,1,1,1,0,0,0,0,0,1,0,0,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,6.0,6.5,6.7,9.8,10.0
Bangkok Horizon Ramkhamhaeng,Bang Kapi,13.762944899999999,100.6484782,5568,1,38,592.0,1.4,63000,6,9,0.48,0.64,1.0,1.1,1.3,0.28,0.37,0.71,0.8,0.94,0.28,0.39,0.44,0.48,0.54,1,1,1,1,1,1,1,1,0,1,1,1,Srinagarindra Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Phra Khanong,Srinagarindra Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Phra Khanong,5.8,6.1,6.3,9.4,9.8
Bliz Condominium Bearing,Bang Kapi,13.773062,100.63424609999998,1504,1,8,79.0,1.8,54741,7,7,1.5,1.5,2.4,2.8,4.9,1.1,1.3,2.2,2.5,2.5,1.3,1.6,1.6,1.6,1.6,1,1,1,1,1,0,1,0,0,0,0,0,Bearing,Bang Na,Bang Na Toll Plaza,Udom Suk,Pak Nam Toll Plaza-Outbound 2,Bearing,Bang Na,Bang Na Toll Plaza,Udom Suk,Pak Nam Toll Plaza-Outbound 2,1.4,2.2,3.4,3.5,3.6
Chewathai Ramkamhaeng,Bang Kapi,13.761382399999999,100.6331327,6400,1,36,400.0,0.46,89261,8,6,0.6,1.0,1.3,1.4,1.5,0.39,0.39,0.5,0.57,0.99,0.35,0.48,0.48,0.52,0.55,1,1,1,1,1,1,1,1,0,0,0,1,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Thailand Cultural Centre,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Thailand Cultural Centre,4.1,4.5,4.9,7.7,7.8
City Villa,Bang Kapi,13.7725975,100.62994,14368,8,9,1748.0,0.98,24184,9,22,1.1,1.2,2.0,1.7,1.8,0.63,0.66,0.87,0.89,0.95,0.23,0.101,0.13,0.57,0.57,1,1,1,1,1,0,0,1,1,1,1,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,3.7,4.4,5.7,7.5,7.7
Condo U @ Huamak Station,Bang Kapi,13.751934900000002,100.6365273,5300,2,8,408.0,1.3,53226,10,6,1.7,2.2,2.2,2.4,2.5,1.1,1.2,1.3,1.4,1.5,0.22,0.55,0.6,0.61,0.66,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,4.1,5.6,6.8,8.8,8.9
D Condo Ramkhamhaeng,Bang Kapi,13.7496291,100.6076671,17194,5,8,1114.0,1.1,63793,11,7,0.058,0.003,0.003,0.002,0.002,0.45,0.61,0.65,1.1,1.2,0.003,0.003,0.003,0.003,0.003,1,1,1,1,1,1,1,1,0,1,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,1.2,1.3,1.7,4.9,5.0
D Condo Ramkhamhaeng 64,Bang Kapi,13.764691899999999,100.65364699999999,14047,2,8,486.0,2.0,60505,12,6,1.0,1.0,1.2,1.2,1.6,0.7,0.7,0.77,0.77,0.81,0.094,0.094,0.17,0.17,0.25,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,6.4,6.4,6.8,6.8,7.0
Fak Khao Pode,Bang Kapi,13.757884299999999,100.63931219999999,14760,3,21,960.0,0.79,38288,13,15,0.62,1.1,1.3,1.4,1.5,1.4,1.4,1.4,1.4,1.5,0.44,0.58,0.63,0.71,0.81,1,1,1,1,0,0,0,1,1,1,1,1,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,4.9,5.6,6.0,9.2,9.4
Four Wings Residence,Bang Kapi,13.754499651486821,100.64594708717071,8332,1,26,470.0,1.7,93287,14,11,1.0,1.1,1.1,1.1,1.1,0.85,0.89,0.89,0.89,0.89,0.53,0.57,0.57,0.57,0.57,1,1,1,1,1,0,1,1,0,0,0,1,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,4.8,4.8,4.8,4.8,4.8
Garden Condo Huamark,Bang Kapi,13.7589029,100.6169983,4880,2,18,540.0,1.8,51006,15,13,0.026,0.11,0.93,3.0,3.0,0.3,0.3,0.36,0.36,0.39,0.018,0.35,0.35,0.35,0.38,1,1,1,1,1,0,1,0,0,0,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,2.4,2.7,2.7,5.9,6.0
H.R. Residence,Bang Kapi,13.77547,100.643378,35200,20,9,2812.0,2.9,15217,16,16,1.7,1.7,1.8,1.9,2.2,1.4,1.9,2.0,2.1,2.3,0.59,0.63,0.99,0.99,1.2,0,0,0,1,1,0,0,1,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,6.8,7.6,7.7,11.0,11.0
Happy Home,Bang Kapi,13.748245,100.6094502,32000,8,6,360.0,1.4,45054,17,12,0.51,0.002,0.002,0.003,0.003,0.65,0.71,0.88,1.2,1.2,0.5,0.51,0.51,0.51,0.002,1,1,1,1,0,0,0,0,0,0,0,0,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,0.9,1.6,2.0,5.2,5.4
Inspire Place ABAC-Rama IX,Bang Kapi,13.7549446,100.62613640000001,4924,2,19,639.0,2.0,48666,18,13,1.2,1.5,1.6,1.9,2.1,0.31,0.71,0.75,0.95,1.0,0.0,0.19,0.21,0.23,0.28,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,Phra Khanong,Ekkamai,2.7,4.2,4.3,7.4,7.5
Le Celeste Rama 9-Srinakarin,Bang Kapi,13.748415,100.6457199,1776,1,8,69.0,1.0,47690,19,11,1.6,1.6,1.9,1.9,2.4,0.91,0.91,1.3,1.3,1.5,0.65,0.65,0.71,0.71,0.89,1,1,1,1,1,0,1,0,0,0,0,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,4.1,4.1,5.7,5.7,7.5
Lumpini Center Happyland,Bang Kapi,13.77384,100.64153,22428,3,8,470.0,1.6,45135,20,17,0.47,0.55,0.78,0.9,2.0,0.15,0.91,1.1,1.6,1.6,0.027,0.22,0.29,0.002,0.55,1,1,1,1,0,0,1,1,1,0,0,1,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,5.6,6.3,6.4,9.4,9.6
Lumpini Center Ladprao 111,Bang Kapi,13.771329999999999,100.637772,10028,7,7,856.0,0.042,36264,21,16,0.002,0.002,0.002,0.8,0.8,0.31,0.31,0.31,0.36,0.36,0.12,0.12,0.12,0.31,0.31,1,1,1,1,0,0,1,1,0,1,1,0,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,4.3,4.3,4.3,5.0,5.0
Lumpini Center Nawamin,Bang Kapi,13.778594,100.643136,5868,3,8,470.0,2.5,32439,22,13,1.4,1.4,1.5,1.6,1.8,1.1,1.1,1.6,1.7,1.7,0.25,0.28,0.65,0.65,0.9,1,1,1,1,0,0,1,0,0,1,0,1,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Yothin Phatthana Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Yothin Phatthana Toll Plaza,Sutthisan,Huai Khwang,6.5,7.2,7.4,10.0,10.0
Lumpini Ville Ramkhamhaeng 26,Bang Kapi,13.7537098,100.6310284,16656,5,8,998.0,1.7,49367,23,10,1.4,1.4,1.4,1.8,1.8,0.42,0.42,0.42,0.61,0.61,0.25,0.25,0.25,0.34,0.34,1,1,1,1,1,0,1,1,1,1,1,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,3.4,3.4,3.4,4.8,4.8
Lumpini Ville Ramkhamhaeng 44,Bang Kapi,13.762082000000001,100.64092159999998,7424,2,23,827.0,0.61,71077,24,11,0.45,0.45,0.59,0.59,0.89,0.82,0.82,0.85,0.85,1.0,0.26,0.26,0.45,0.45,0.47,1,1,1,1,1,1,1,1,1,1,1,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,5.0,5.0,5.5,5.5,5.8
Niran City,Bang Kapi,13.7834185,100.6336233,10712,8,9,225.0,3.1,19754,25,13,6.4,6.4,6.4,17.0,17.0,4.4,4.4,4.4,11.0,11.0,7.8,7.8,7.8,11.0,11.0,1,1,1,1,0,0,0,0,0,1,0,0,Bang Wa,Bang Wa,Bang Wa,Wutthakat,Wutthakat,Bang Wa,Bang Wa,Bang Wa,Wutthakat,Wutthakat,31.0,31.0,31.0,33.0,33.0
Plum Condo Ladprao 101,Bang Kapi,13.789471300000002,100.6267391,13484,12,5,712.0,1.8,60435,26,4,1.9,1.9,2.0,2.0,2.0,0.15,0.15,0.75,0.75,0.75,0.52,0.52,0.52,0.52,0.54,1,1,1,1,0,0,0,1,0,0,0,0,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,3.5,3.5,4.0,4.0,4.7
Prom Condominium,Bang Kapi,13.756232699999998,100.6492052,2870,1,7,112.0,2.2,133511,27,27,1.4,1.4,1.5,1.5,1.9,1.2,1.2,1.3,1.3,1.4,0.52,0.52,0.58,0.58,1.1,0,0,0,1,0,0,0,0,0,0,0,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,5.3,5.3,6.8,6.8,7.2
Prompimarn,Bang Kapi,13.7894908,100.6268346,10106,3,7,700.0,1.7,20827,28,25,1.7,1.7,1.8,1.8,2.2,0.15,0.15,0.92,0.92,0.92,0.34,0.34,0.7,0.7,0.72,1,1,1,1,0,0,0,0,0,0,0,0,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,3.3,3.3,3.8,3.8,4.5
Sukhapiban 3 Mansion,Bang Kapi,13.76114,100.6479,44583,1,19,1024.0,1.5,35837,29,25,0.52,0.92,1.1,1.2,1.3,0.42,0.55,0.92,1.0,1.1,0.63,0.002,0.73,0.74,0.78,1,1,1,1,0,0,1,0,0,1,0,0,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Phra Khanong,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Phra Khanong,5.9,6.3,6.7,9.5,9.9
Supalai City Resort Ramkhamhaeng,Bang Kapi,13.752462,100.61097099999999,8000,2,8,540.0,1.6,82588,30,9,0.003,0.002,0.002,0.003,0.21,0.21,0.38,0.62,0.68,0.72,0.17,0.18,0.19,0.002,0.002,1,1,1,1,1,0,1,1,0,1,1,0,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,1.4,1.8,2.2,5.4,5.6
The Base Rama 9 - Ramkhamhaeng,Bang Kapi,13.7479899,100.60597340000001,8764,1,35,924.0,0.86,98270,31,7,0.32,0.003,0.003,0.73,0.002,0.33,0.72,0.92,1.4,1.5,0.21,0.63,0.003,0.003,0.003,1,1,1,1,1,0,1,1,0,1,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,0.89,0.98,1.4,4.6,4.8
The Niche Citi Ladprao 130,Bang Kapi,13.770226999999998,100.6305957,6334,2,8,340.0,0.96,59193,32,9,2.0,1.4,1.5,1.7,1.9,0.52,0.84,0.92,1.1,1.1,0.3,0.13,0.43,0.47,0.002,1,1,1,1,1,0,1,1,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,4.0,4.7,5.5,7.8,7.9
The Niche ID Ladprao 130,Bang Kapi,13.771679999999998,100.630416,6530,2,8,370.0,1.0,50514,33,7,1.3,2.0,1.4,1.8,1.8,0.69,0.77,0.91,1.0,1.1,0.26,0.13,0.101,0.6,0.61,1,1,1,1,1,0,1,0,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,3.9,4.6,5.7,7.7,7.8
The Wellington,Bang Kapi,13.754824900000001,100.6395771,2856,1,7,79.0,1.2,54948,34,10,1.1,1.4,1.6,1.7,1.8,0.98,1.3,1.6,1.7,1.9,0.38,0.43,0.59,0.65,0.7,1,1,1,1,1,0,1,0,0,0,0,1,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,4.6,6.1,6.1,9.3,9.4
U Delight @ Huamak Station,Bang Kapi,13.751866199999998,100.6377307,9620,1,20,867.0,1.2,75363,35,5,1.6,2.2,2.2,2.4,2.5,1.1,1.2,1.3,1.4,1.5,0.19,0.52,0.57,0.58,0.63,1,1,1,1,1,1,1,1,0,1,1,1,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,4.0,5.5,6.8,8.7,8.9
Ussakan Place,Bang Kapi,13.765614999999999,100.653276,1974,9,8,540.0,2.1,57692,36,16,1.1,1.2,1.6,1.7,1.9,0.73,0.85,0.92,1.0,1.3,0.26,0.27,0.3,0.33,0.51,1,1,1,1,0,0,0,0,0,1,1,0,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,Huai Khwang,Phra Khanong,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,Huai Khwang,Phra Khanong,6.4,6.8,7.0,10.0,10.0
Bangkhae City,Bang Khae,13.710834,100.4110147,5738,3,8,900.0,2.0,19766,37,16,3.2,3.2,3.3,3.3,5.5,3.5,3.5,3.5,3.5,3.8,2.2,2.2,2.2,2.2,2.7,1,1,1,1,0,0,0,1,0,1,0,1,Wutthakat,Wutthakat,Talat Phlu,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 1,Wutthakat,Wutthakat,Talat Phlu,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 1,7.9,7.9,8.6,8.6,8.8
Fuse Sense' Bangkae,Bang Khae,13.711016,100.396394,9122,1,24,815.0,2.0,85479,38,4,75.0,3.9,4.5,4.6,6.6,3.6,4.5,4.7,4.7,4.8,3.0,3.4,2.0,2.0,2.0,1,1,1,1,1,0,1,1,1,0,0,1,Bang Khun Thian Toll Plaza-Outbound 1,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,Bang Khun Thian Toll Plaza-Outbound 1,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,9.0,9.3,9.9,13.0,15.0
Lumpini Condo Town Bangkhae,Bang Khae,13.7074598,100.42076,11200,4,8,791.0,2.0,46242,39,9,2.2,2.3,4.2,4.4,5.2,2.4,2.5,2.8,3.0,3.1,1.2,1.2,1.7,1.8,1.8,1,1,1,1,0,0,1,1,1,1,1,0,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 1,Bang Khun Thian Toll Plaza-Inbound 1,Bang Khun Thian Toll Plaza-Outbound 2,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 1,Bang Khun Thian Toll Plaza-Inbound 1,Bang Khun Thian Toll Plaza-Outbound 2,6.9,7.6,9.4,9.7,11.0
Plum Condo Bangkae,Bang Khae,13.710254,100.396221,3200,2,8,286.0,2.0,54010,40,5,75.0,3.9,4.5,4.6,6.6,3.6,4.5,4.6,4.7,4.7,3.0,2.0,2.0,3.4,2.0,1,1,1,1,1,0,1,1,0,1,0,0,Bang Khun Thian Toll Plaza-Outbound 1,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,Bang Khun Thian Toll Plaza-Outbound 1,Wutthakat,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,9.0,9.2,9.9,13.0,15.0
The Parkland Phetkasem,Bang Khae,13.7106786,100.4085297,8170,1,28,895.0,2.0,102809,41,4,3.0,3.1,5.1,5.3,6.2,3.3,3.3,3.6,4.7,4.9,2.0,2.0,2.5,2.6,2.7,1,1,1,1,1,0,1,1,0,1,1,0,Wutthakat,Bang Khun Thian Toll Plaza-Outbound 1,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,Wutthakat,Bang Khun Thian Toll Plaza-Outbound 1,Talat Phlu,Bang Khun Thian Toll Plaza-Outbound 3,Bang Wa,7.8,8.1,8.4,11.0,13.0
Baan Suan Bangkhen,Bang Khen,13.879629199999998,100.61031059999999,4925,1,6,690.5,2.0,21679,42,24,2.0,2.0,2.9,2.9,3.3,1.1,1.3,1.6,1.9,2.0,0.24,0.37,0.93,1.0,1.5,0,1,0,0,0,0,0,0,0,1,1,0,Lak Si Toll Plaza-Inbound,Lak Si Toll Plaza-Outbound,Don Mueang 2 Toll Plaza,Phahon Yothin,Lat Phrao,Lak Si Toll Plaza-Inbound,Lak Si Toll Plaza-Outbound,Don Mueang 2 Toll Plaza,Phahon Yothin,Lat Phrao,4.7,5.0,5.8,12.0,12.0
Casa de Sansara,Bang Khen,13.8841655,100.60544509999998,2000,1,8,690.5,0.96,28697,43,12,1.8,2.2,2.2,2.2,2.2,0.74,0.79,1.1,1.2,1.3,0.5,0.69,0.69,0.002,0.72,1,1,1,1,0,0,0,0,0,0,0,0,Lak Si Toll Plaza-Inbound,Don Mueang 2 Toll Plaza,Don Mueang 1 Toll Plaza,Phahon Yothin,Lat Phrao,Lak Si Toll Plaza-Inbound,Don Mueang 2 Toll Plaza,Don Mueang 1 Toll Plaza,Phahon Yothin,Lat Phrao,3.2,4.9,4.9,11.0,12.0
D Condo Ramindra,Bang Khen,13.853060399999999,100.6358916,14998,4,8,825.0,3.9,56606,44,7,0.76,0.83,1.1,1.3,1.5,0.83,0.003,0.83,1.2,1.5,0.019,0.077,0.24,0.26,0.39,1,1,1,1,1,1,1,1,0,1,0,0,Ram Inthra Toll Plaza 1,Ram Inthra Toll Plaza,Sukhaphiban 5-1 Toll Plaza,Lat Phrao,Ratchadaphisek,Ram Inthra Toll Plaza 1,Ram Inthra Toll Plaza,Sukhaphiban 5-1 Toll Plaza,Lat Phrao,Ratchadaphisek,0.88,2.0,4.9,11.0,12.0
Indra Mansion,Bang Khen,13.866620300000001,100.61282390000001,3184,2,6,382.0,4.2,23214,45,28,1.5,1.5,1.6,1.8,3.2,0.8,1.0,1.8,2.0,2.1,0.48,0.73,1.0,1.0,1.0,0,1,0,1,0,0,0,0,0,0,1,1,Ram Inthra Toll Plaza 1,Chaeng Watthana 1 Toll Plaza,Ram Inthra Toll Plaza,Phahon Yothin,Lat Phrao,Ram Inthra Toll Plaza 1,Chaeng Watthana 1 Toll Plaza,Ram Inthra Toll Plaza,Phahon Yothin,Lat Phrao,3.9,4.4,4.9,9.2,9.7
