name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
Le Cote Thonglor 8,Watthana,13.731082,100.582629,1240,1,8,101.0,0.95,143333,896,6,0.008,0.26,0.28,0.36,0.42,0.32,0.51,0.73,0.77,0.8,0.053,0.057,0.06,0.06,0.06,1,1,1,1,1,0,1,1,0,0,0,0,Thong Lo,Ekkamai,Phrom Phong,Phatthanakan 1 Toll Plaza,At Narong Toll Plaza,Thong Lo,Ekkamai,Phrom Phong,Phatthanakan 1 Toll Plaza,At Narong Toll Plaza,1.1,1.8,2.2,3.1,3.4
Le Luk,Watthana,13.7137856,100.59324559999999,14400,2,27,272.0,0.98,134000,897,9,0.23,0.55,0.071,1.4,1.8,0.55,0.93,0.98,1.0,1.1,0.19,0.22,0.37,0.39,0.009,1,1,1,1,1,1,1,0,1,1,0,1,Phra Khanong,Phra Khanong Toll Plaza,Ekkamai,On Nut,At Narong 2 Toll Plaza,Phra Khanong,Phra Khanong Toll Plaza,Ekkamai,On Nut,At Narong 2 Toll Plaza,0.44,1.2,1.3,1.4,2.1
Le Nice Ekamai,Watthana,13.725715,100.58525300000001,4776,1,8,79.0,1.4,111287,898,9,0.24,0.27,0.47,1.1,8.0,0.31,0.32,0.32,0.52,0.56,0.072,0.04,0.048,0.081,0.081,1,1,1,1,1,0,1,1,1,0,0,0,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phatthanakan 1 Toll Plaza,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phatthanakan 1 Toll Plaza,0.77,1.4,1.6,2.6,3.0
Le Raffine Jambu Dvipa Sukhumvit 39,Watthana,13.733091,100.570778,3088,1,34,59.0,0.5,177966,899,10,0.039,0.41,0.53,0.57,0.033,0.56,0.88,0.93,0.95,1.2,0.11,0.28,0.28,0.039,0.039,1,1,1,1,1,1,1,1,1,0,0,0,Phrom Phong,Asok,Sukhumvit,Rama 4-2 Toll Plaza,Asok 4 Toll Plaza,Phrom Phong,Asok,Sukhumvit,Rama 4-2 Toll Plaza,Asok 4 Toll Plaza,0.48,1.8,1.9,3.3,3.5
Le Raffine Jambunuda Sukhumvit 31,Watthana,13.734026,100.56595,2392,1,30,45.0,1.3,155263,900,13,0.033,0.44,0.49,0.52,0.62,0.72,0.91,0.95,0.95,1.0,0.02,0.021,0.041,0.064,0.068,1,1,1,1,1,1,1,1,1,0,0,1,Phrom Phong,Asok,Sukhumvit,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,Phrom Phong,Asok,Sukhumvit,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,0.6,0.9,1.0,2.2,3.2
Lenice Ekamai,Watthana,13.725671599999998,100.585004,1545,1,8,79.0,1.5,109178,901,9,0.22,0.36,0.45,1.2,8.0,0.41,0.41,0.43,0.51,0.54,0.022,0.032,0.054,0.068,0.074,1,1,1,1,1,1,1,0,0,0,0,0,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phatthanakan 1 Toll Plaza,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phatthanakan 1 Toll Plaza,0.85,1.5,1.6,2.7,2.9
Life @ Sukhumvit,Watthana,13.716890300000003,100.5889868,4292,1,26,540.0,0.41,116272,902,10,0.58,0.59,0.62,0.72,1.0,0.35,0.41,0.42,0.43,0.62,0.23,0.24,0.4,0.62,0.63,1,1,1,1,1,1,1,1,1,0,0,1,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,0.32,0.56,1.4,1.9,2.4
Life @ Sukhumvit 67,Watthana,13.716752,100.590241,1576,1,8,78.0,0.57,117857,903,10,0.76,0.79,0.83,1.2,1.3,0.24,0.4,0.48,0.59,0.79,0.2,0.21,0.57,0.64,0.66,1,1,1,1,1,0,1,0,0,0,0,0,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,0.29,0.73,1.6,1.9,2.4
Liv@49,Watthana,13.7285432,100.57565840000001,3092,2,8,183.0,1.2,183841,904,3,0.001,0.001,0.001,0.3,0.041,0.34,0.34,0.34,0.54,0.54,0.022,0.022,0.022,0.05,0.05,1,1,1,1,1,1,1,1,1,0,1,0,Phrom Phong,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Phrom Phong,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,0.55,0.55,0.55,0.82,0.82
Lumpini Suite Sukhumvit 41,Watthana,13.7300762,100.57197109999998,2712,2,9,159.0,0.99,125000,905,14,0.17,0.041,0.17,0.041,0.001,0.18,0.18,0.72,0.72,0.82,0.28,0.28,0.3,0.3,0.34,1,1,1,1,1,1,1,0,0,0,0,1,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Tha Ruea 2 Toll Plaza,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Tha Ruea 2 Toll Plaza,0.37,0.37,1.0,1.0,2.7
M Thonglor 10,Watthana,13.7306473,100.5867884,1679,1,22,179.0,0.8,177470,906,3,0.075,0.075,0.075,0.2,0.2,0.47,0.47,0.47,0.57,0.57,0.014,0.014,0.014,0.014,0.014,1,1,1,1,1,1,1,1,1,1,1,1,Thong Lo,Thong Lo,Thong Lo,Ekkamai,Ekkamai,Thong Lo,Thong Lo,Thong Lo,Ekkamai,Ekkamai,1.3,1.3,1.3,1.8,1.8
MARQUE Sukhumvit,Watthana,13.7297878,100.5707953,4800,1,9,148.0,0.72,343979,907,3,0.15,0.15,0.2,0.2,0.43,0.47,0.47,0.55,0.55,0.76,0.039,0.039,0.1,0.1,0.12,1,1,1,1,1,0,1,1,0,0,1,0,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Queen Sirikit National Convention Centre,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Queen Sirikit National Convention Centre,0.1,0.1,1.1,1.1,2.6
MODE Sukhumvit 61,Watthana,13.722672,100.58283,3108,2,8,168.0,1.2,185688,908,6,0.076,0.48,0.51,0.56,0.73,0.64,0.76,0.76,0.77,0.84,0.093,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,0,0,0,1,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,0.49,0.76,1.3,2.3,2.9
Maestro 39,Watthana,13.7399125,100.5724903,1606,1,8,90.0,0.97,146667,909,4,0.36,0.36,0.36,0.62,0.62,0.48,0.48,0.48,0.83,0.83,0.22,0.22,0.22,0.32,0.32,1,1,1,1,1,0,1,0,0,0,0,0,Phrom Phong,Phrom Phong,Phrom Phong,Asok,Asok,Phrom Phong,Phrom Phong,Phrom Phong,Asok,Asok,1.2,1.2,1.2,2.1,2.1
Mirage Sukhumvit 27,Watthana,13.735229,100.564607,1740,1,8,117.0,1.1,160000,910,5,0.25,0.47,0.49,0.55,0.033,0.82,0.93,0.96,0.97,0.98,0.19,0.23,0.24,0.25,0.25,1,1,1,1,1,0,1,1,0,0,0,0,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Asok 1 Toll Plaza,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Asok 1 Toll Plaza,0.63,0.75,0.85,1.9,2.6
Modern Town,Watthana,13.730348999999999,100.585629,18861,2,8,180.0,1.4,56818,911,27,0.24,0.39,0.64,0.008,0.015,0.0,0.6,0.87,0.93,0.96,0.13,0.22,0.24,0.27,0.27,1,1,1,1,1,1,1,0,1,0,0,1,Ekkamai,Thong Lo,Phatthanakan 1 Toll Plaza,Phrom Phong,At Narong Toll Plaza,Ekkamai,Thong Lo,Phatthanakan 1 Toll Plaza,Phrom Phong,At Narong Toll Plaza,1.3,1.8,2.6,2.9,3.2
Noble BE19,Watthana,13.7423386,100.5586169,5980,2,48,586.0,0.68,232384,912,-1,0.019,0.019,0.59,0.59,1.888,0.41,0.41,0.57,0.57,0.66,0.31,0.31,0.44,0.44,0.46,1,1,1,1,1,1,1,1,1,1,0,0,Asok,Asok,Nana,Nana,Sukhumvit,Asok,Asok,Nana,Nana,Sukhumvit,0.73,0.73,0.76,0.76,0.79
